Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
0.888158486,0.06864662,0.039722672,0.001157407,0.001157407,0.001157407
0.088425221,0.096955399,0.040783013,0.524764287,0.20177307,0.04729901
0.335643348,0.102496241,0.126777443,0.292036292,0.116121464,0.026925213
0.272080302,0.099674824,0.107556217,0.404586227,0.091300843,0.024801587
0.337024374,0.070270826,0.042082252,0.335511154,0.186066116,0.029045278
0.053861473,0.097319212,0.067730964,0.586449928,0.147249379,0.047389044
0.053369176,0.093811798,0.048250375,0.58624044,0.170077836,0.048250375
0.071046234,0.109124171,0.044450928,0.50185348,0.222298173,0.051227015
0.061313657,0.087094907,0.034577546,0.575983796,0.194039352,0.046990741
0.074296784,0.128382838,0.062965332,0.480688006,0.203063293,0.050603747
0.060067483,0.08952252,0.041132101,0.552387398,0.20523874,0.051651758
0.143022487,0.082223167,0.771282124,0.001157407,0.001157407,0.001157407
0.05968305,0.103105301,0.059214845,0.526476026,0.205053195,0.046467582
0.032516792,0.096280875,0.034607418,0.6414157,0.145937416,0.049241798
0.056802762,0.127429558,0.028980085,0.552260437,0.182004809,0.05252235
0.0414398,0.12244594,0.050638197,0.515195766,0.228840496,0.0414398
0.037334295,0.095217314,0.059040427,0.622495446,0.139534001,0.046378516
0.102195037,0.089685616,0.039647933,0.477477659,0.23210056,0.058893196
0.034053385,0.076719469,0.033543498,0.68066495,0.13068532,0.044333378
0.051347579,0.093923184,0.044177554,0.559974773,0.206399357,0.044177554
0.187659733,0.071461949,0.09416641,0.546751896,0.070485497,0.029474514
0.660031847,0.220016671,0.116479259,0.001157407,0.001157407,0.001157407
0.577740552,0.129286995,0.289500231,0.001157407,0.001157407,0.001157407
0.84888776,0.021341463,0.126298555,0.001157407,0.001157407,0.001157407
0.200562169,0.095899471,0.093419312,0.49619709,0.08994709,0.023974868
0.051667523,0.086456603,0.064056797,0.627772558,0.121238059,0.04880846
0.476575804,0.068753259,0.06297185,0.216504854,0.145893664,0.029300568
