"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
215.001,2021,6,1,23,31.625,16.75,7.063,131.563,22,6,0.147182960992257,0.0783175405557976,0.0334705269243364,0.609856734947141,0.102622983062783,0.0285492535176839
4.938,2021,6,2,2,2.25,0.563,2.125,0,0,0,0.454312174669607,0.114257534164379,0.429115476351199,0.000771604938271605,0.000771604938271605,0.000771604938271605
124.501,2021,6,2,4,19,10.313,4.75,66.063,18.375,6,0.152674296780402,0.0832227870944762,0.0387472778988041,0.528937264473358,0.147677497706647,0.0487408760463127
22.938,2021,6,2,5,21.5,0.625,0.813,0,0,0,0.933741478639682,0.0278928221970336,0.0360508843484691,0.000771604938271605,0.000771604938271605,0.000771604938271605
159.5,2021,6,2,7,17.625,9.25,6.125,103.125,17.375,6,0.110761591005844,0.0584968458531677,0.0389950752738109,0.644330034057045,0.109201449359495,0.0382150044506366
252.751,2021,6,2,10,73.75,17.813,24.875,106.813,22.25,7.25,0.29120988140331,0.070921801801617,0.0987329897120725,0.421416806620443,0.088395356142978,0.0293231643195804
55.313,2021,6,2,14,44.125,4.063,7.125,0,0,0,0.794811298908814,0.0738862401020634,0.128987646174308,0.000771604938271605,0.000771604938271605,0.000771604938271605
308.5,2021,6,2,15,58.75,29.625,43.25,144.125,24.25,8.5,0.19032755067331,0.0963561988514717,0.140317045841087,0.465788637773376,0.0790138463693299,0.0281967204914261
144.251,2021,6,3,6,7.625,13.063,6.375,78.063,33.375,5.75,0.0533861384532841,0.0909097887161875,0.0447608050901673,0.539427123598262,0.23106800573349,0.0404481384086089
160.001,2021,6,3,7,14.5,9.813,6.25,105.688,17.75,6,0.0909764809726112,0.0618185324227526,0.0396530170220387,0.658259393787739,0.11119481525617,0.038097760538688
111.188,2021,6,3,11,104.25,1.25,5.688,0,0,0,0.934032038718096,0.011961778005176,0.0516913684619132,0.000771604938271605,0.000771604938271605,0.000771604938271605
71.188,2021,6,3,13,3.75,24.313,34.125,0,0,9,0.0532051455474879,0.340722717693438,0.47791682448214,0.000771604938271605,0.000771604938271605,0.126612102400391
300.001,2021,6,3,15,73.875,26.563,41,114.813,35.25,8.5,0.24588074161152,0.0889047216550431,0.136805102110565,0.381708529592967,0.117727233604695,0.0289736714252105
294.001,2021,6,3,16,78.125,23.813,42,126.313,16.75,7,0.265271760329529,0.0813929451025215,0.142966888476612,0.428417148975852,0.0574804382541573,0.0244708188613283
9.688,2021,6,3,17,1.125,1.688,6.875,0,0,0,0.11635703708801,0.174201124466057,0.707127023631118,0.000771604938271605,0.000771604938271605,0.000771604938271605
273.501,2021,6,3,19,85.625,19.563,36.75,86.313,39.25,6,0.31239235938876,0.0719685312952339,0.134518322906802,0.31489624352379,0.143616739095138,0.0226078037902766
311.688,2021,6,4,1,275.75,8.75,9.813,0,11.125,6.25,0.88137457851964,0.0287145823411256,0.0321092549101808,0.000771604938271605,0.0362991047790431,0.0207308745117387
141,2021,6,4,3,6,12.875,3.25,83.875,29,6,0.0431277909114788,0.0916609206724455,0.0237145390070922,0.592875788022065,0.20549317047544,0.0431277909114788
106.501,2021,6,4,7,20.125,10.313,4.688,49.75,15.625,6,0.188862127127769,0.0971580673154289,0.0445861822314078,0.465740721903614,0.146804619060553,0.0568482823612275
12.563,2021,6,4,14,7.875,2.688,2,0,0,0,0.624710287312439,0.213742675188654,0.159232222684092,0.000771604938271605,0.000771604938271605,0.000771604938271605
297.5,2021,6,4,15,52.375,41.75,39.25,130.75,25.375,8,0.17600697686482,0.140458035065878,0.13209357817201,0.438232700487602,0.0856708424110385,0.0275378669986513
177.5,2021,6,4,16,93.5,11.25,12.375,15,45.375,0,0.525093462006608,0.0638584593983655,0.0701671448443749,0.0848874108850635,0.255221917927317,0.000771604938271605
456.439,2021,6,4,18,81.875,24.188,29.313,0,314.563,6.5,0.179318900577062,0.0535191101219183,0.0646953530550335,0.000771604938271605,0.68674867923476,0.0149463520729542
383.813,2021,6,4,20,66.125,24.5,25.063,0,262.125,6,0.172258411640339,0.0643092497655028,0.0657693189099,0.000771604938271605,0.680559570258189,0.0163318444877976
171,2021,6,5,0,33.375,13,7.125,78.5,33,6,0.195043453541261,0.0764430366038553,0.0422453703703704,0.457710634611219,0.192860623781676,0.0356968810916179
115.751,2021,6,5,10,4.625,7.188,3.875,81.563,13.75,4.75,0.0405430795947581,0.0625829259827742,0.0340936512720846,0.702151234647894,0.119011124187285,0.0416179843152036
125.501,2021,6,5,13,3.375,10.063,3.75,79.563,23.75,5,0.0275393199365585,0.0805830170946452,0.0305135104919237,0.631799666688997,0.189137006778068,0.0404274790098077
