Total_Value,Year,Month,Day,Hour,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
123.501,2021,5,28,3,11.875,21.625,6.938,53.688,23.375,6.0
123.751,2021,5,28,4,10.875,11.938,4.938,65.25,25.0,5.75
8.0,2021,5,28,5,6.5,1.0,0.5,0.0,0.0,0.0
139.00199999999998,2021,5,28,6,13.75,11.563,6.188,84.18799999999997,17.313,6.0
78.501,2021,5,28,7,13.5,12.625,7.063,23.25,16.063,6.0
272.251,2021,5,28,8,67.875,12.25,14.313,77.313,27.75,72.75
264.75,2021,5,28,9,56.125,16.625,15.125,118.0,19.625,39.25
249.501,2021,5,28,10,79.75,20.5,24.563,98.688,18.5,7.5
73.625,2021,5,28,11,65.375,4.5,3.75,0.0,0.0,0.0
305.5,2021,5,28,12,134.25,28.75,37.375,65.75,32.375,7.0
289.251,2021,5,28,13,63.0,31.688,38.188,129.125,20.5,6.75
290.0,2021,5,28,14,111.875,31.75,37.125,83.625,18.125,7.5
289.751,2021,5,28,15,96.25,25.438,35.25,86.81299999999997,36.25,9.75
262.501,2021,5,28,16,85.0,31.063,32.5,88.18799999999997,18.25,7.5
33.563,2021,5,28,17,30.625,0.813,2.125,0.0,0.0,0.0
250.50099999999998,2021,5,28,18,84.375,25.563,31.688,73.375,29.0,6.5
252.0,2021,5,28,19,68.75,25.0,27.0,102.375,22.875,6.0
25.813000000000002,2021,5,28,20,21.625,1.625,2.563,0.0,0.0,0.0
217.751,2021,5,28,21,61.5,19.375,14.813,91.5,24.313,6.25
204.75099999999998,2021,5,28,22,69.25,14.25,8.437999999999999,68.938,38.125,5.75
177.50099999999998,2021,5,28,23,100.75,17.563,8.375,22.188,22.625,6.0
154.501,2021,5,29,0,61.625,15.313,5.875,49.563,16.125,6.0
80.251,2021,5,29,1,18.25,15.563,4.688,19.125,16.375,6.25
125.251,2021,5,29,2,3.875,14.938,6.438,70.625,23.625,5.75
120.501,2021,5,29,3,7.375,12.313,4.75,66.938,23.125,6.0
122.501,2021,5,29,4,3.25,9.75,3.688,83.68799999999997,16.125,6.0
134.25,2021,5,29,5,7.125,13.0,9.0,79.125,19.75,6.25
121.251,2021,5,29,6,6.375,11.313,5.75,71.438,20.625,5.75
121.501,2021,5,29,7,9.25,8.687999999999999,5.25,71.875,20.438,6.0
1.751,2021,5,29,8,1.0,0.688,0.063,0.0,0.0,0.0
128.25,2021,5,29,9,4.125,11.5,4.625,84.625,17.125,6.25
72.751,2021,5,29,10,3.125,12.563,3.688,32.5,15.125,5.75
119.001,2021,5,29,11,8.375,12.938,5.188,60.0,26.5,6.0
